None,metro_area,date,value
0,Chicago,2021-07-31,349900.0
1,Chicago,2021-06-30,354900.0
2,Chicago,2021-05-31,359000.0
3,Chicago,2021-04-30,350000.0
4,Chicago,2021-03-31,349900.0
5,Chicago,2021-02-28,340000.0
6,Chicago,2021-01-31,325000.0
7,Chicago,2020-12-31,330000.0
8,Chicago,2020-11-30,339000.0
9,Chicago,2020-10-31,348900.0
10,Chicago,2020-09-30,350000.0
11,Chicago,2020-08-31,349900.0
12,Chicago,2020-07-31,349900.0
13,Chicago,2020-06-30,345000.0
14,Chicago,2020-05-31,335000.0
15,Chicago,2020-04-30,329000.0
16,Chicago,2020-03-31,331990.0
17,Chicago,2020-02-29,324900.0
18,Chicago,2020-01-31,306000.0
19,Chicago,2019-12-31,301640.0
20,Chicago,2019-11-30,314500.0
21,Chicago,2019-10-31,319900.0
22,Chicago,2019-09-30,325000.0
23,Chicago,2019-08-31,329900.0
24,Chicago,2019-07-31,339500.0
25,Chicago,2019-06-30,345500.0
26,Chicago,2019-05-31,349500.0
27,Chicago,2019-04-30,349000.0
28,Chicago,2019-03-31,339000.0
29,Chicago,2019-02-28,320000.0
30,Chicago,2019-01-31,299900.0
31,Chicago,2018-12-31,299900.0
32,Chicago,2018-11-30,310000.0
33,Chicago,2018-10-31,319900.0
34,Chicago,2018-09-30,325000.0
35,Chicago,2018-08-31,329800.0
36,Chicago,2018-07-31,335900.0
37,Chicago,2018-06-30,345000.0
38,Chicago,2018-05-31,349900.0
39,Chicago,2018-04-30,349000.0
40,Chicago,2018-03-31,339000.0
41,Chicago,2018-02-28,319900.0
42,Chicago,2018-01-31,299000.0
43,Chicago,2017-12-31,299000.0
44,Chicago,2017-11-30,305000.0
45,Chicago,2017-10-31,315000.0
