None,metro_area,date,value
0,Denver,2021-07-31,8772.0
1,Denver,2021-06-30,8115.0
2,Denver,2021-05-31,7367.0
3,Denver,2021-04-30,6675.0
4,Denver,2021-03-31,6835.0
5,Denver,2021-02-28,7265.0
6,Denver,2021-01-31,8867.0
7,Denver,2020-12-31,10960.0
8,Denver,2020-11-30,13273.0
9,Denver,2020-10-31,10464.0
10,Denver,2020-09-30,11164.0
11,Denver,2020-08-31,11319.0
12,Denver,2020-07-31,11619.0
13,Denver,2020-06-30,11710.0
14,Denver,2020-05-31,10943.0
15,Denver,2020-04-30,9545.0
16,Denver,2020-03-31,9120.0
17,Denver,2020-02-29,8969.0
18,Denver,2020-01-31,10111.0
19,Denver,2019-12-31,11508.0
20,Denver,2019-11-30,13103.0
21,Denver,2019-10-31,14095.0
22,Denver,2019-09-30,14566.0
23,Denver,2019-08-31,14586.0
24,Denver,2019-07-31,13979.0
25,Denver,2019-06-30,13015.0
26,Denver,2019-05-31,11641.0
27,Denver,2019-04-30,10463.0
28,Denver,2019-03-31,9621.0
29,Denver,2019-02-28,9697.0
30,Denver,2019-01-31,10441.0
31,Denver,2018-12-31,11267.0
32,Denver,2018-11-30,12237.0
33,Denver,2018-10-31,12577.0
34,Denver,2018-09-30,12574.0
35,Denver,2018-08-31,12277.0
36,Denver,2018-07-31,11709.0
37,Denver,2018-06-30,10858.0
38,Denver,2018-05-31,9642.0
39,Denver,2018-04-30,8576.0
40,Denver,2018-03-31,7637.0
41,Denver,2018-02-28,7594.0
42,Denver,2018-01-31,8444.0
43,Denver,2017-12-31,8856.0
44,Denver,2017-11-30,9969.0
45,Denver,2017-10-31,11047.0
