None,metro_area,date,value
0,Kansas City,2021-07-31,357000.0
1,Kansas City,2021-06-30,375000.0
2,Kansas City,2021-05-31,389900.0
3,Kansas City,2021-04-30,395000.0
4,Kansas City,2021-03-31,389900.0
5,Kansas City,2021-02-28,366000.0
6,Kansas City,2021-01-31,344000.0
7,Kansas City,2020-12-31,339500.0
8,Kansas City,2020-11-30,344900.0
9,Kansas City,2020-10-31,339900.0
10,Kansas City,2020-09-30,349000.0
11,Kansas City,2020-08-31,350000.0
12,Kansas City,2020-07-31,365000.0
13,Kansas City,2020-06-30,369950.0
14,Kansas City,2020-05-31,360000.0
15,Kansas City,2020-04-30,349000.0
16,Kansas City,2020-03-31,349000.0
17,Kansas City,2020-02-29,332500.0
18,Kansas City,2020-01-31,319900.0
19,Kansas City,2019-12-31,300961.0
20,Kansas City,2019-11-30,300000.0
21,Kansas City,2019-10-31,305000.0
22,Kansas City,2019-09-30,309000.0
23,Kansas City,2019-08-31,309900.0
24,Kansas City,2019-07-31,319950.0
25,Kansas City,2019-06-30,329900.0
26,Kansas City,2019-05-31,339900.0
27,Kansas City,2019-04-30,339000.0
28,Kansas City,2019-03-31,334950.0
29,Kansas City,2019-02-28,320000.0
30,Kansas City,2019-01-31,304900.0
31,Kansas City,2018-12-31,295000.0
32,Kansas City,2018-11-30,289950.0
33,Kansas City,2018-10-31,295000.0
34,Kansas City,2018-09-30,276700.0
35,Kansas City,2018-08-31,269900.0
36,Kansas City,2018-07-31,271000.0
37,Kansas City,2018-06-30,275000.0
38,Kansas City,2018-05-31,276526.0
39,Kansas City,2018-04-30,275000.0
40,Kansas City,2018-03-31,277300.0
41,Kansas City,2018-02-28,269500.0
42,Kansas City,2018-01-31,259950.0
43,Kansas City,2017-12-31,250000.0
44,Kansas City,2017-11-30,254000.0
45,Kansas City,2017-10-31,249950.0
