None,metro_area,date,value
0,Madison,2021-07-31,2652.0
1,Madison,2021-06-30,2502.0
2,Madison,2021-05-31,2325.0
3,Madison,2021-04-30,2092.0
4,Madison,2021-03-31,1916.0
5,Madison,2021-02-28,1864.0
6,Madison,2021-01-31,2112.0
7,Madison,2020-12-31,2498.0
8,Madison,2020-11-30,2822.0
9,Madison,2020-10-31,2938.0
10,Madison,2020-09-30,3068.0
11,Madison,2020-08-31,3055.0
12,Madison,2020-07-31,3031.0
13,Madison,2020-06-30,2993.0
14,Madison,2020-05-31,2940.0
15,Madison,2020-04-30,2748.0
16,Madison,2020-03-31,2553.0
17,Madison,2020-02-29,2505.0
18,Madison,2020-01-31,2716.0
19,Madison,2019-12-31,3008.0
20,Madison,2019-11-30,3278.0
21,Madison,2019-10-31,3440.0
22,Madison,2019-09-30,3521.0
23,Madison,2019-08-31,3552.0
24,Madison,2019-07-31,3451.0
25,Madison,2019-06-30,3246.0
26,Madison,2019-05-31,2919.0
27,Madison,2019-04-30,2587.0
28,Madison,2019-03-31,2389.0
29,Madison,2019-02-28,2420.0
30,Madison,2019-01-31,2642.0
31,Madison,2018-12-31,2928.0
32,Madison,2018-11-30,3235.0
33,Madison,2018-10-31,3434.0
34,Madison,2018-09-30,3548.0
35,Madison,2018-08-31,3589.0
36,Madison,2018-07-31,3525.0
37,Madison,2018-06-30,3309.0
38,Madison,2018-05-31,2945.0
39,Madison,2018-04-30,2580.0
40,Madison,2018-03-31,2320.0
41,Madison,2018-02-28,2300.0
42,Madison,2018-01-31,2528.0
43,Madison,2017-12-31,2679.0
44,Madison,2017-11-30,2908.0
45,Madison,2017-10-31,3134.0
