None,metro_area,date,value
0,Minneapolis,2021-07-31,379900.0
1,Minneapolis,2021-06-30,385000.0
2,Minneapolis,2021-05-31,389000.0
3,Minneapolis,2021-04-30,390000.0
4,Minneapolis,2021-03-31,399000.0
5,Minneapolis,2021-02-28,386900.0
6,Minneapolis,2021-01-31,375000.0
7,Minneapolis,2020-12-31,373884.0
8,Minneapolis,2020-11-30,364571.0
9,Minneapolis,2020-10-31,350000.0
10,Minneapolis,2020-09-30,348628.0
11,Minneapolis,2020-08-31,374900.0
12,Minneapolis,2020-07-31,379900.0
13,Minneapolis,2020-06-30,379990.0
14,Minneapolis,2020-05-31,379900.0
15,Minneapolis,2020-04-30,375000.0
16,Minneapolis,2020-03-31,380000.0
17,Minneapolis,2020-02-29,379900.0
18,Minneapolis,2020-01-31,366793.0
19,Minneapolis,2019-12-31,350000.0
20,Minneapolis,2019-11-30,349000.0
21,Minneapolis,2019-10-31,344990.0
22,Minneapolis,2019-09-30,349900.0
23,Minneapolis,2019-08-31,351197.0
24,Minneapolis,2019-07-31,364500.0
25,Minneapolis,2019-06-30,366860.0
26,Minneapolis,2019-05-31,375000.0
27,Minneapolis,2019-04-30,379900.0
28,Minneapolis,2019-03-31,385000.0
29,Minneapolis,2019-02-28,372371.0
30,Minneapolis,2019-01-31,354900.0
31,Minneapolis,2018-12-31,339900.0
32,Minneapolis,2018-11-30,334900.0
33,Minneapolis,2018-10-31,339000.0
34,Minneapolis,2018-09-30,340000.0
35,Minneapolis,2018-08-31,349000.0
36,Minneapolis,2018-07-31,350000.0
37,Minneapolis,2018-06-30,364000.0
38,Minneapolis,2018-05-31,369900.0
39,Minneapolis,2018-04-30,375000.0
40,Minneapolis,2018-03-31,384900.0
41,Minneapolis,2018-02-28,374990.0
42,Minneapolis,2018-01-31,359800.0
43,Minneapolis,2017-12-31,339900.0
44,Minneapolis,2017-11-30,325000.0
45,Minneapolis,2017-10-31,324900.0
