None,metro_area,date,value
0,Oklahoma City,2021-07-31,299900.0
1,Oklahoma City,2021-06-30,305000.0
2,Oklahoma City,2021-05-31,316825.0
3,Oklahoma City,2021-04-30,324340.0
4,Oklahoma City,2021-03-31,310000.0
5,Oklahoma City,2021-02-28,304900.0
6,Oklahoma City,2021-01-31,291500.0
7,Oklahoma City,2020-12-31,294092.0
8,Oklahoma City,2020-11-30,295972.0
9,Oklahoma City,2020-10-31,284990.0
10,Oklahoma City,2020-09-30,285600.0
11,Oklahoma City,2020-08-31,289000.0
12,Oklahoma City,2020-07-31,291900.0
13,Oklahoma City,2020-06-30,297897.0
14,Oklahoma City,2020-05-31,285000.0
15,Oklahoma City,2020-04-30,275900.0
16,Oklahoma City,2020-03-31,276150.0
17,Oklahoma City,2020-02-29,273000.0
18,Oklahoma City,2020-01-31,265000.0
19,Oklahoma City,2019-12-31,259999.0
20,Oklahoma City,2019-11-30,260000.0
21,Oklahoma City,2019-10-31,261096.0
22,Oklahoma City,2019-09-30,259900.0
23,Oklahoma City,2019-08-31,259900.0
24,Oklahoma City,2019-07-31,266900.0
25,Oklahoma City,2019-06-30,269000.0
26,Oklahoma City,2019-05-31,273000.0
27,Oklahoma City,2019-04-30,271900.0
28,Oklahoma City,2019-03-31,264900.0
29,Oklahoma City,2019-02-28,254900.0
30,Oklahoma City,2019-01-31,247660.0
31,Oklahoma City,2018-12-31,239900.0
32,Oklahoma City,2018-11-30,241150.0
33,Oklahoma City,2018-10-31,240000.0
34,Oklahoma City,2018-09-30,240000.0
35,Oklahoma City,2018-08-31,240000.0
36,Oklahoma City,2018-07-31,245000.0
37,Oklahoma City,2018-06-30,246825.0
38,Oklahoma City,2018-05-31,248900.0
39,Oklahoma City,2018-04-30,245000.0
40,Oklahoma City,2018-03-31,244300.0
41,Oklahoma City,2018-02-28,235000.0
42,Oklahoma City,2018-01-31,229900.0
43,Oklahoma City,2017-12-31,229900.0
44,Oklahoma City,2017-11-30,229000.0
45,Oklahoma City,2017-10-31,230000.0
