None,indicator_id,region_id,date,value
0,IRAM,394463,2021-07-31,39810.0
1,IRAM,394463,2021-06-30,37766.0
2,IRAM,394463,2021-05-31,35627.0
3,IRAM,394463,2021-04-30,33398.0
4,IRAM,394463,2021-03-31,33031.0
5,IRAM,394463,2021-02-28,33383.0
6,IRAM,394463,2021-01-31,37096.0
7,IRAM,394463,2020-12-31,41750.0
8,IRAM,394463,2020-11-30,46711.0
9,IRAM,394463,2020-10-31,43570.0
10,IRAM,394463,2020-09-30,44744.0
11,IRAM,394463,2020-08-31,44913.0
12,IRAM,394463,2020-07-31,44400.0
13,IRAM,394463,2020-06-30,43016.0
14,IRAM,394463,2020-05-31,42596.0
15,IRAM,394463,2020-04-30,42220.0
16,IRAM,394463,2020-03-31,42271.0
17,IRAM,394463,2020-02-29,42068.0
18,IRAM,394463,2020-01-31,44492.0
19,IRAM,394463,2019-12-31,48065.0
20,IRAM,394463,2019-11-30,51835.0
21,IRAM,394463,2019-10-31,54034.0
22,IRAM,394463,2019-09-30,54670.0
23,IRAM,394463,2019-08-31,54518.0
24,IRAM,394463,2019-07-31,53688.0
25,IRAM,394463,2019-06-30,51540.0
26,IRAM,394463,2019-05-31,47933.0
27,IRAM,394463,2019-04-30,44106.0
28,IRAM,394463,2019-03-31,40845.0
29,IRAM,394463,2019-02-28,40496.0
30,IRAM,394463,2019-01-31,42996.0
31,IRAM,394463,2018-12-31,46197.0
32,IRAM,394463,2018-11-30,49636.0
33,IRAM,394463,2018-10-31,51457.0
34,IRAM,394463,2018-09-30,51687.0
35,IRAM,394463,2018-08-31,51344.0
36,IRAM,394463,2018-07-31,50153.0
37,IRAM,394463,2018-06-30,48352.0
38,IRAM,394463,2018-05-31,44931.0
39,IRAM,394463,2018-04-30,41385.0
40,IRAM,394463,2018-03-31,38431.0
41,IRAM,394463,2018-02-28,37662.0
42,IRAM,394463,2018-01-31,40113.0
43,IRAM,394463,2017-12-31,41690.0
44,IRAM,394463,2017-11-30,44752.0
45,IRAM,394463,2017-10-31,47461.0
