None,metro_area,date,value
0,Chicago,2021-06-30,300000.0
1,Chicago,2021-05-31,295000.0
2,Chicago,2021-04-30,280000.0
3,Chicago,2021-03-31,269000.0
4,Chicago,2021-02-28,255000.0
5,Chicago,2021-01-31,253000.0
6,Chicago,2020-12-31,259900.0
7,Chicago,2020-11-30,260000.0
8,Chicago,2020-10-31,270000.0
9,Chicago,2020-09-30,265000.0
10,Chicago,2020-08-31,269000.0
11,Chicago,2020-07-31,261500.0
12,Chicago,2020-06-30,254000.0
13,Chicago,2020-05-31,250000.0
14,Chicago,2020-04-30,260000.0
15,Chicago,2020-03-31,245000.0
16,Chicago,2020-02-29,227500.0
17,Chicago,2020-01-31,222000.0
18,Chicago,2019-12-31,230000.0
19,Chicago,2019-11-30,232500.0
20,Chicago,2019-10-31,231000.0
21,Chicago,2019-09-30,231000.0
22,Chicago,2019-08-31,243000.0
23,Chicago,2019-07-31,247500.0
24,Chicago,2019-06-30,250000.0
25,Chicago,2019-05-31,245000.0
26,Chicago,2019-04-30,240000.0
27,Chicago,2019-03-31,234000.0
28,Chicago,2019-02-28,222000.0
29,Chicago,2019-01-31,216000.0
30,Chicago,2018-12-31,220000.0
31,Chicago,2018-11-30,223720.0
32,Chicago,2018-10-31,224113.0
33,Chicago,2018-09-30,230000.0
34,Chicago,2018-08-31,234500.0
35,Chicago,2018-07-31,245000.0
36,Chicago,2018-06-30,250000.0
37,Chicago,2018-05-31,241000.0
38,Chicago,2018-04-30,240000.0
39,Chicago,2018-03-31,232000.0
40,Chicago,2018-02-28,219000.0
41,Chicago,2018-01-31,216500.0
42,Chicago,2017-12-31,220000.0
43,Chicago,2017-11-30,220000.0
44,Chicago,2017-10-31,219000.0
45,Chicago,2017-09-30,225000.0
46,Chicago,2017-08-31,232000.0
47,Chicago,2017-07-31,242000.0
48,Chicago,2017-06-30,245000.0
49,Chicago,2017-05-31,237000.0
50,Chicago,2017-04-30,235000.0
51,Chicago,2017-03-31,223000.0
