None,indicator_id,region_id,date,value
0,SRAM,394530,2021-06-30,550000.0
1,SRAM,394530,2021-05-31,540000.0
2,SRAM,394530,2021-04-30,525500.0
3,SRAM,394530,2021-03-31,505650.0
4,SRAM,394530,2021-02-28,475000.0
5,SRAM,394530,2021-01-31,460000.0
6,SRAM,394530,2020-12-31,458000.0
7,SRAM,394530,2020-11-30,467000.0
8,SRAM,394530,2020-10-31,470000.0
9,SRAM,394530,2020-09-30,460000.0
10,SRAM,394530,2020-08-31,460000.0
11,SRAM,394530,2020-07-31,460000.0
12,SRAM,394530,2020-06-30,447970.0
13,SRAM,394530,2020-05-31,436250.0
14,SRAM,394530,2020-04-30,436000.0
15,SRAM,394530,2020-03-31,440000.0
16,SRAM,394530,2020-02-29,429750.0
17,SRAM,394530,2020-01-31,422500.0
18,SRAM,394530,2019-12-31,415000.0
19,SRAM,394530,2019-11-30,425000.0
20,SRAM,394530,2019-10-31,421000.0
21,SRAM,394530,2019-09-30,419450.0
22,SRAM,394530,2019-08-31,424000.0
23,SRAM,394530,2019-07-31,430000.0
24,SRAM,394530,2019-06-30,429000.0
25,SRAM,394530,2019-05-31,430050.0
26,SRAM,394530,2019-04-30,425000.0
27,SRAM,394530,2019-03-31,420000.0
28,SRAM,394530,2019-02-28,405700.0
29,SRAM,394530,2019-01-31,405913.0
30,SRAM,394530,2018-12-31,410000.0
31,SRAM,394530,2018-11-30,410000.0
32,SRAM,394530,2018-10-31,410736.0
33,SRAM,394530,2018-09-30,408700.0
34,SRAM,394530,2018-08-31,415000.0
35,SRAM,394530,2018-07-31,420000.0
36,SRAM,394530,2018-06-30,427000.0
37,SRAM,394530,2018-05-31,425000.0
38,SRAM,394530,2018-04-30,425000.0
39,SRAM,394530,2018-03-31,412000.0
40,SRAM,394530,2018-02-28,410000.0
41,SRAM,394530,2018-01-31,395000.0
42,SRAM,394530,2017-12-31,395000.0
43,SRAM,394530,2017-11-30,382000.0
44,SRAM,394530,2017-10-31,385000.0
45,SRAM,394530,2017-09-30,379000.0
46,SRAM,394530,2017-08-31,380000.0
47,SRAM,394530,2017-07-31,388000.0
48,SRAM,394530,2017-06-30,398000.0
49,SRAM,394530,2017-05-31,387000.0
50,SRAM,394530,2017-04-30,386600.0
51,SRAM,394530,2017-03-31,380000.0
52,SRAM,394530,2017-02-28,367950.0
53,SRAM,394530,2017-01-31,362000.0
54,SRAM,394530,2016-12-31,365000.0
55,SRAM,394530,2016-11-30,358700.0
56,SRAM,394530,2016-10-31,358000.0
57,SRAM,394530,2016-09-30,353000.0
58,SRAM,394530,2016-08-31,355000.0
59,SRAM,394530,2016-07-31,361000.0
60,SRAM,394530,2016-06-30,367000.0
61,SRAM,394530,2016-05-31,365000.0
62,SRAM,394530,2016-04-30,350000.0
63,SRAM,394530,2016-03-31,350000.0
64,SRAM,394530,2016-02-29,335600.0
65,SRAM,394530,2016-01-31,325000.0
66,SRAM,394530,2015-12-31,325000.0
67,SRAM,394530,2015-11-30,324900.0
68,SRAM,394530,2015-10-31,318950.0
69,SRAM,394530,2015-09-30,315000.0
70,SRAM,394530,2015-08-31,315000.0
71,SRAM,394530,2015-07-31,320000.0
72,SRAM,394530,2015-06-30,328900.0
73,SRAM,394530,2015-05-31,322000.0
74,SRAM,394530,2015-04-30,319300.0
75,SRAM,394530,2015-03-31,320000.0
76,SRAM,394530,2015-02-28,297000.0
77,SRAM,394530,2015-01-31,297500.0
78,SRAM,394530,2014-12-31,293000.0
79,SRAM,394530,2014-11-30,287550.0
80,SRAM,394530,2014-10-31,282950.0
81,SRAM,394530,2014-09-30,280000.0
82,SRAM,394530,2014-08-31,278152.0
83,SRAM,394530,2014-07-31,290000.0
84,SRAM,394530,2014-06-30,288500.0
85,SRAM,394530,2014-05-31,285000.0
86,SRAM,394530,2014-04-30,285000.0
87,SRAM,394530,2014-03-31,276500.0
88,SRAM,394530,2014-02-28,262500.0
89,SRAM,394530,2014-01-31,265237.0
90,SRAM,394530,2013-12-31,270000.0
91,SRAM,394530,2013-11-30,260000.0
92,SRAM,394530,2013-10-31,266500.0
93,SRAM,394530,2013-09-30,265000.0
94,SRAM,394530,2013-08-31,270000.0
95,SRAM,394530,2013-07-31,279925.0
96,SRAM,394530,2013-06-30,277000.0
97,SRAM,394530,2013-05-31,273900.0
98,SRAM,394530,2013-04-30,270000.0
99,SRAM,394530,2013-03-31,270000.0
100,SRAM,394530,2013-02-28,260000.0
101,SRAM,394530,2013-01-31,252000.0
102,SRAM,394530,2012-12-31,250000.0
103,SRAM,394530,2012-11-30,255000.0
104,SRAM,394530,2012-10-31,255000.0
105,SRAM,394530,2012-09-30,255000.0
106,SRAM,394530,2012-08-31,255000.0
107,SRAM,394530,2012-07-31,260000.0
108,SRAM,394530,2012-06-30,265000.0
109,SRAM,394530,2012-05-31,257000.0
110,SRAM,394530,2012-04-30,250000.0
111,SRAM,394530,2012-03-31,240000.0
112,SRAM,394530,2012-02-29,225000.0
113,SRAM,394530,2012-01-31,235000.0
114,SRAM,394530,2011-12-31,239450.0
115,SRAM,394530,2011-11-30,240428.0
116,SRAM,394530,2011-10-31,235725.0
117,SRAM,394530,2011-09-30,239925.0
118,SRAM,394530,2011-08-31,245000.0
119,SRAM,394530,2011-07-31,245000.0
120,SRAM,394530,2011-06-30,250000.0
121,SRAM,394530,2011-05-31,245000.0
122,SRAM,394530,2011-04-30,239000.0
123,SRAM,394530,2011-03-31,245000.0
124,SRAM,394530,2011-02-28,245000.0
125,SRAM,394530,2011-01-31,230000.0
126,SRAM,394530,2010-12-31,245000.0
127,SRAM,394530,2010-11-30,245000.0
128,SRAM,394530,2010-10-31,242000.0
129,SRAM,394530,2010-09-30,247000.0
130,SRAM,394530,2010-08-31,252500.0
