None,metro_area,date,value
0,Des Moines,2021-06-30,255000.0
1,Des Moines,2021-05-31,245000.0
2,Des Moines,2021-04-30,249000.0
3,Des Moines,2021-03-31,234300.0
4,Des Moines,2021-02-28,229773.0
5,Des Moines,2021-01-31,238400.0
6,Des Moines,2020-12-31,240750.0
7,Des Moines,2020-11-30,235000.0
8,Des Moines,2020-10-31,235000.0
9,Des Moines,2020-09-30,232000.0
10,Des Moines,2020-08-31,241000.0
11,Des Moines,2020-07-31,230000.0
12,Des Moines,2020-06-30,230000.0
13,Des Moines,2020-05-31,225000.0
14,Des Moines,2020-04-30,224500.0
15,Des Moines,2020-03-31,219000.0
16,Des Moines,2020-02-29,201500.0
17,Des Moines,2020-01-31,212000.0
18,Des Moines,2019-12-31,229000.0
19,Des Moines,2019-11-30,223000.0
20,Des Moines,2019-10-31,212000.0
21,Des Moines,2019-09-30,220000.0
22,Des Moines,2019-08-31,226000.0
23,Des Moines,2019-07-31,221000.0
24,Des Moines,2019-06-30,230000.0
25,Des Moines,2019-05-31,215000.0
26,Des Moines,2019-04-30,215000.0
27,Des Moines,2019-03-31,220000.0
28,Des Moines,2019-02-28,197000.0
29,Des Moines,2019-01-31,200000.0
30,Des Moines,2018-12-31,197500.0
31,Des Moines,2018-11-30,208000.0
32,Des Moines,2018-10-31,200000.0
33,Des Moines,2018-09-30,210000.0
34,Des Moines,2018-08-31,210000.0
35,Des Moines,2018-07-31,214000.0
36,Des Moines,2018-06-30,215000.0
37,Des Moines,2018-05-31,210250.0
38,Des Moines,2018-04-30,207700.0
39,Des Moines,2018-03-31,199750.0
40,Des Moines,2018-02-28,201000.0
41,Des Moines,2018-01-31,197500.0
42,Des Moines,2017-12-31,202500.0
43,Des Moines,2017-11-30,200000.0
44,Des Moines,2017-10-31,206000.0
45,Des Moines,2017-09-30,197700.0
46,Des Moines,2017-08-31,205000.0
47,Des Moines,2017-07-31,197500.0
48,Des Moines,2017-06-30,207000.0
49,Des Moines,2017-05-31,200000.0
50,Des Moines,2017-04-30,188000.0
51,Des Moines,2017-03-31,179950.0
52,Des Moines,2017-02-28,176500.0
53,Des Moines,2017-01-31,186697.0
54,Des Moines,2016-12-31,183000.0
55,Des Moines,2016-11-30,182000.0
56,Des Moines,2016-10-31,184875.0
57,Des Moines,2016-09-30,180500.0
58,Des Moines,2016-08-31,187500.0
59,Des Moines,2016-07-31,196000.0
60,Des Moines,2016-06-30,189950.0
61,Des Moines,2016-05-31,179500.0
62,Des Moines,2016-04-30,175000.0
63,Des Moines,2016-03-31,165000.0
64,Des Moines,2016-02-29,175500.0
65,Des Moines,2016-01-31,170000.0
66,Des Moines,2015-12-31,186633.0
67,Des Moines,2015-11-30,189500.0
68,Des Moines,2015-10-31,175000.0
69,Des Moines,2015-09-30,177500.0
70,Des Moines,2015-08-31,185000.0
71,Des Moines,2015-07-31,178500.0
72,Des Moines,2015-06-30,179500.0
73,Des Moines,2015-05-31,175000.0
74,Des Moines,2015-04-30,168000.0
75,Des Moines,2015-03-31,167500.0
76,Des Moines,2015-02-28,163500.0
77,Des Moines,2015-01-31,155000.0
78,Des Moines,2014-12-31,155000.0
79,Des Moines,2014-11-30,170000.0
80,Des Moines,2014-10-31,165500.0
81,Des Moines,2014-09-30,170000.0
82,Des Moines,2014-08-31,173000.0
83,Des Moines,2014-07-31,174000.0
84,Des Moines,2014-06-30,177500.0
85,Des Moines,2014-05-31,164000.0
86,Des Moines,2014-04-30,160000.0
87,Des Moines,2014-03-31,153000.0
88,Des Moines,2014-02-28,155500.0
89,Des Moines,2014-01-31,155000.0
90,Des Moines,2013-12-31,165031.0
91,Des Moines,2013-11-30,167000.0
92,Des Moines,2013-10-31,159750.0
93,Des Moines,2013-09-30,169500.0
94,Des Moines,2013-08-31,169375.0
95,Des Moines,2013-07-31,170000.0
96,Des Moines,2013-06-30,170000.0
97,Des Moines,2013-05-31,161250.0
98,Des Moines,2013-04-30,160000.0
99,Des Moines,2013-03-31,149000.0
100,Des Moines,2013-02-28,150000.0
101,Des Moines,2013-01-31,150250.0
102,Des Moines,2012-12-31,161500.0
103,Des Moines,2012-11-30,155000.0
104,Des Moines,2012-10-31,147500.0
105,Des Moines,2012-09-30,155750.0
106,Des Moines,2012-08-31,164500.0
107,Des Moines,2012-07-31,158000.0
108,Des Moines,2012-06-30,159000.0
109,Des Moines,2012-05-31,159000.0
110,Des Moines,2012-04-30,150000.0
111,Des Moines,2012-03-31,139700.0
112,Des Moines,2012-02-29,134500.0
113,Des Moines,2012-01-31,139500.0
114,Des Moines,2011-12-31,142500.0
115,Des Moines,2011-11-30,144250.0
116,Des Moines,2011-10-31,150000.0
117,Des Moines,2011-09-30,151250.0
118,Des Moines,2011-08-31,153000.0
119,Des Moines,2011-07-31,161500.0
120,Des Moines,2011-06-30,152000.0
121,Des Moines,2011-05-31,143500.0
122,Des Moines,2011-04-30,139500.0
123,Des Moines,2011-03-31,134500.0
124,Des Moines,2011-02-28,132000.0
125,Des Moines,2011-01-31,146500.0
126,Des Moines,2010-12-31,149995.0
127,Des Moines,2010-11-30,150000.0
128,Des Moines,2010-10-31,148750.0
129,Des Moines,2010-09-30,146000.0
