None,indicator_id,region_id,date,value
0,IRAM,394735,2021-07-31,6902.0
1,IRAM,394735,2021-06-30,6438.0
2,IRAM,394735,2021-05-31,5963.0
3,IRAM,394735,2021-04-30,5448.0
4,IRAM,394735,2021-03-31,5246.0
5,IRAM,394735,2021-02-28,5161.0
6,IRAM,394735,2021-01-31,5801.0
7,IRAM,394735,2020-12-31,6537.0
8,IRAM,394735,2020-11-30,7260.0
9,IRAM,394735,2020-10-31,7482.0
10,IRAM,394735,2020-09-30,7622.0
11,IRAM,394735,2020-08-31,7807.0
12,IRAM,394735,2020-07-31,8053.0
13,IRAM,394735,2020-06-30,8072.0
14,IRAM,394735,2020-05-31,8096.0
15,IRAM,394735,2020-04-30,7886.0
16,IRAM,394735,2020-03-31,7905.0
17,IRAM,394735,2020-02-29,8226.0
18,IRAM,394735,2020-01-31,8915.0
19,IRAM,394735,2019-12-31,9591.0
20,IRAM,394735,2019-11-30,10293.0
21,IRAM,394735,2019-10-31,10657.0
22,IRAM,394735,2019-09-30,10687.0
23,IRAM,394735,2019-08-31,10693.0
24,IRAM,394735,2019-07-31,10571.0
25,IRAM,394735,2019-06-30,10189.0
26,IRAM,394735,2019-05-31,9651.0
27,IRAM,394735,2019-04-30,9202.0
28,IRAM,394735,2019-03-31,8791.0
29,IRAM,394735,2019-02-28,8920.0
30,IRAM,394735,2019-01-31,9478.0
31,IRAM,394735,2018-12-31,10329.0
32,IRAM,394735,2018-11-30,11337.0
33,IRAM,394735,2018-10-31,12017.0
34,IRAM,394735,2018-09-30,12658.0
35,IRAM,394735,2018-08-31,12670.0
36,IRAM,394735,2018-07-31,12285.0
37,IRAM,394735,2018-06-30,11692.0
38,IRAM,394735,2018-05-31,10568.0
39,IRAM,394735,2018-04-30,9694.0
40,IRAM,394735,2018-03-31,9167.0
41,IRAM,394735,2018-02-28,9154.0
42,IRAM,394735,2018-01-31,9742.0
43,IRAM,394735,2017-12-31,10094.0
44,IRAM,394735,2017-11-30,10637.0
45,IRAM,394735,2017-10-31,11130.0
