None,metro_area,date,value
0,Kansas City,2021-06-30,280000.0
1,Kansas City,2021-05-31,281000.0
2,Kansas City,2021-04-30,268000.0
3,Kansas City,2021-03-31,257000.0
4,Kansas City,2021-02-28,250000.0
5,Kansas City,2021-01-31,245000.0
6,Kansas City,2020-12-31,245000.0
7,Kansas City,2020-11-30,251000.0
8,Kansas City,2020-10-31,253000.0
9,Kansas City,2020-09-30,260000.0
10,Kansas City,2020-08-31,256000.0
11,Kansas City,2020-07-31,257000.0
12,Kansas City,2020-06-30,250000.0
13,Kansas City,2020-05-31,242750.0
14,Kansas City,2020-04-30,237500.0
15,Kansas City,2020-03-31,239500.0
16,Kansas City,2020-02-29,220000.0
17,Kansas City,2020-01-31,218000.0
18,Kansas City,2019-12-31,225000.0
19,Kansas City,2019-11-30,220000.0
20,Kansas City,2019-10-31,215000.0
21,Kansas City,2019-09-30,220950.0
22,Kansas City,2019-08-31,230000.0
23,Kansas City,2019-07-31,230000.0
24,Kansas City,2019-06-30,239900.0
25,Kansas City,2019-05-31,234000.0
26,Kansas City,2019-04-30,225000.0
27,Kansas City,2019-03-31,215000.0
28,Kansas City,2019-02-28,200000.0
29,Kansas City,2019-01-31,207250.0
30,Kansas City,2018-12-31,205873.0
31,Kansas City,2018-11-30,210800.0
32,Kansas City,2018-10-31,211877.0
33,Kansas City,2018-09-30,205000.0
34,Kansas City,2018-08-31,212250.0
35,Kansas City,2018-07-31,220100.0
36,Kansas City,2018-06-30,222000.0
37,Kansas City,2018-05-31,220000.0
38,Kansas City,2018-04-30,215000.0
39,Kansas City,2018-03-31,210000.0
40,Kansas City,2018-02-28,199950.0
41,Kansas City,2018-01-31,200000.0
42,Kansas City,2017-12-31,200000.0
43,Kansas City,2017-11-30,200000.0
44,Kansas City,2017-10-31,193800.0
45,Kansas City,2017-09-30,200000.0
46,Kansas City,2017-08-31,208000.0
47,Kansas City,2017-07-31,210000.0
48,Kansas City,2017-06-30,215000.0
49,Kansas City,2017-05-31,205000.0
50,Kansas City,2017-04-30,197000.0
51,Kansas City,2017-03-31,187000.0
52,Kansas City,2017-02-28,185000.0
53,Kansas City,2017-01-31,177000.0
54,Kansas City,2016-12-31,185000.0
55,Kansas City,2016-11-30,181000.0
56,Kansas City,2016-10-31,190000.0
57,Kansas City,2016-09-30,186000.0
58,Kansas City,2016-08-31,193000.0
59,Kansas City,2016-07-31,197500.0
60,Kansas City,2016-06-30,200000.0
61,Kansas City,2016-05-31,195000.0
62,Kansas City,2016-04-30,184900.0
63,Kansas City,2016-03-31,172000.0
64,Kansas City,2016-02-29,166000.0
65,Kansas City,2016-01-31,164000.0
66,Kansas City,2015-12-31,173200.0
67,Kansas City,2015-11-30,172000.0
68,Kansas City,2015-10-31,175000.0
69,Kansas City,2015-09-30,171500.0
70,Kansas City,2015-08-31,180000.0
71,Kansas City,2015-07-31,182500.0
72,Kansas City,2015-06-30,189695.0
73,Kansas City,2015-05-31,185000.0
74,Kansas City,2015-04-30,177000.0
75,Kansas City,2015-03-31,165000.0
76,Kansas City,2015-02-28,157500.0
77,Kansas City,2015-01-31,154000.0
78,Kansas City,2014-12-31,168000.0
79,Kansas City,2014-11-30,168600.0
80,Kansas City,2014-10-31,165000.0
81,Kansas City,2014-09-30,165000.0
82,Kansas City,2014-08-31,174625.0
83,Kansas City,2014-07-31,179000.0
84,Kansas City,2014-06-30,178000.0
85,Kansas City,2014-05-31,173000.0
86,Kansas City,2014-04-30,164000.0
87,Kansas City,2014-03-31,150000.0
88,Kansas City,2014-02-28,145000.0
89,Kansas City,2014-01-31,155000.0
90,Kansas City,2013-12-31,160000.0
91,Kansas City,2013-11-30,162500.0
92,Kansas City,2013-10-31,161500.0
93,Kansas City,2013-09-30,160000.0
94,Kansas City,2013-08-31,164750.0
95,Kansas City,2013-07-31,171000.0
96,Kansas City,2013-06-30,175000.0
97,Kansas City,2013-05-31,165100.0
98,Kansas City,2013-04-30,152000.0
99,Kansas City,2013-03-31,147000.0
100,Kansas City,2013-02-28,134500.0
