None,indicator_id,region_id,date,value
0,SRAM,394816,2021-06-30,347000.0
1,SRAM,394816,2021-05-31,325000.0
2,SRAM,394816,2021-04-30,315500.0
3,SRAM,394816,2021-03-31,330000.0
4,SRAM,394816,2021-02-28,289000.0
5,SRAM,394816,2021-01-31,292800.0
6,SRAM,394816,2020-12-31,295000.0
7,SRAM,394816,2020-11-30,300000.0
8,SRAM,394816,2020-10-31,295750.0
9,SRAM,394816,2020-09-30,295000.0
10,SRAM,394816,2020-08-31,297750.0
11,SRAM,394816,2020-07-31,290500.0
12,SRAM,394816,2020-06-30,300000.0
13,SRAM,394816,2020-05-31,297000.0
14,SRAM,394816,2020-04-30,290000.0
15,SRAM,394816,2020-03-31,274700.0
16,SRAM,394816,2020-02-29,270000.0
17,SRAM,394816,2020-01-31,261000.0
18,SRAM,394816,2019-12-31,261500.0
19,SRAM,394816,2019-11-30,270000.0
20,SRAM,394816,2019-10-31,265000.0
21,SRAM,394816,2019-09-30,259900.0
22,SRAM,394816,2019-08-31,275000.0
23,SRAM,394816,2019-07-31,275550.0
24,SRAM,394816,2019-06-30,285000.0
25,SRAM,394816,2019-05-31,272500.0
26,SRAM,394816,2019-04-30,264900.0
27,SRAM,394816,2019-03-31,255000.0
28,SRAM,394816,2019-02-28,250000.0
29,SRAM,394816,2019-01-31,260750.0
30,SRAM,394816,2018-12-31,253000.0
31,SRAM,394816,2018-11-30,253500.0
32,SRAM,394816,2018-10-31,255250.0
33,SRAM,394816,2018-09-30,252000.0
34,SRAM,394816,2018-08-31,260000.0
35,SRAM,394816,2018-07-31,272000.0
36,SRAM,394816,2018-06-30,272800.0
37,SRAM,394816,2018-05-31,259900.0
38,SRAM,394816,2018-04-30,251450.0
39,SRAM,394816,2018-03-31,260000.0
40,SRAM,394816,2018-02-28,247500.0
41,SRAM,394816,2018-01-31,251750.0
42,SRAM,394816,2017-12-31,238000.0
43,SRAM,394816,2017-11-30,250000.0
44,SRAM,394816,2017-10-31,248750.0
45,SRAM,394816,2017-09-30,246048.0
46,SRAM,394816,2017-08-31,262150.0
47,SRAM,394816,2017-07-31,252800.0
48,SRAM,394816,2017-06-30,260000.0
49,SRAM,394816,2017-05-31,242500.0
50,SRAM,394816,2017-04-30,248200.0
51,SRAM,394816,2017-03-31,239000.0
52,SRAM,394816,2017-02-28,229900.0
53,SRAM,394816,2017-01-31,221000.0
54,SRAM,394816,2016-12-31,232700.0
55,SRAM,394816,2016-11-30,232200.0
56,SRAM,394816,2016-10-31,220000.0
57,SRAM,394816,2016-09-30,230000.0
58,SRAM,394816,2016-08-31,238000.0
59,SRAM,394816,2016-07-31,237000.0
60,SRAM,394816,2016-06-30,234500.0
61,SRAM,394816,2016-05-31,219000.0
62,SRAM,394816,2016-04-30,226000.0
63,SRAM,394816,2016-03-31,214450.0
64,SRAM,394816,2016-02-29,208357.0
65,SRAM,394816,2016-01-31,220000.0
66,SRAM,394816,2015-12-31,220400.0
67,SRAM,394816,2015-11-30,220000.0
68,SRAM,394816,2015-10-31,210000.0
69,SRAM,394816,2015-09-30,216000.0
70,SRAM,394816,2015-08-31,229950.0
71,SRAM,394816,2015-07-31,223750.0
72,SRAM,394816,2015-06-30,223000.0
73,SRAM,394816,2015-05-31,222200.0
74,SRAM,394816,2015-04-30,212000.0
75,SRAM,394816,2015-03-31,207000.0
76,SRAM,394816,2015-02-28,201900.0
77,SRAM,394816,2015-01-31,198250.0
78,SRAM,394816,2014-12-31,203800.0
79,SRAM,394816,2014-11-30,209000.0
80,SRAM,394816,2014-10-31,200000.0
81,SRAM,394816,2014-09-30,211950.0
82,SRAM,394816,2014-08-31,216700.0
83,SRAM,394816,2014-07-31,226750.0
84,SRAM,394816,2014-06-30,208800.0
85,SRAM,394816,2014-05-31,195000.0
86,SRAM,394816,2014-04-30,198000.0
87,SRAM,394816,2014-03-31,194250.0
88,SRAM,394816,2014-02-28,183250.0
89,SRAM,394816,2014-01-31,191500.0
90,SRAM,394816,2013-12-31,189000.0
91,SRAM,394816,2013-11-30,198000.0
92,SRAM,394816,2013-10-31,195000.0
93,SRAM,394816,2013-09-30,202000.0
94,SRAM,394816,2013-08-31,204000.0
95,SRAM,394816,2013-07-31,206000.0
96,SRAM,394816,2013-06-30,214200.0
97,SRAM,394816,2013-05-31,200000.0
98,SRAM,394816,2013-04-30,199000.0
99,SRAM,394816,2013-03-31,185000.0
100,SRAM,394816,2013-02-28,179400.0
101,SRAM,394816,2013-01-31,179000.0
102,SRAM,394816,2012-12-31,183950.0
103,SRAM,394816,2012-11-30,190000.0
104,SRAM,394816,2012-10-31,186500.0
105,SRAM,394816,2012-09-30,193000.0
106,SRAM,394816,2012-08-31,199000.0
107,SRAM,394816,2012-07-31,187850.0
108,SRAM,394816,2012-06-30,196900.0
109,SRAM,394816,2012-05-31,197000.0
110,SRAM,394816,2012-04-30,199950.0
111,SRAM,394816,2012-03-31,180500.0
112,SRAM,394816,2012-02-29,169500.0
113,SRAM,394816,2012-01-31,174500.0
114,SRAM,394816,2011-12-31,197000.0
115,SRAM,394816,2011-11-30,203500.0
116,SRAM,394816,2011-10-31,192250.0
117,SRAM,394816,2011-09-30,192000.0
118,SRAM,394816,2011-08-31,194750.0
119,SRAM,394816,2011-07-31,205000.0
120,SRAM,394816,2011-06-30,203600.0
121,SRAM,394816,2011-05-31,196000.0
122,SRAM,394816,2011-04-30,189700.0
123,SRAM,394816,2011-03-31,187500.0
124,SRAM,394816,2011-02-28,196000.0
125,SRAM,394816,2011-01-31,195000.0
126,SRAM,394816,2010-12-31,195000.0
127,SRAM,394816,2010-11-30,195000.0
128,SRAM,394816,2010-10-31,212000.0
129,SRAM,394816,2010-09-30,203000.0
130,SRAM,394816,2010-08-31,214250.0
131,SRAM,394816,2010-07-31,215000.0
132,SRAM,394816,2010-06-30,204500.0
133,SRAM,394816,2010-05-31,189000.0
134,SRAM,394816,2010-04-30,187900.0
135,SRAM,394816,2010-03-31,189000.0
136,SRAM,394816,2010-02-28,191000.0
137,SRAM,394816,2010-01-31,180000.0
138,SRAM,394816,2009-12-31,185500.0
139,SRAM,394816,2009-11-30,185000.0
140,SRAM,394816,2009-10-31,185750.0
141,SRAM,394816,2009-09-30,190750.0
142,SRAM,394816,2009-08-31,206850.0
143,SRAM,394816,2009-07-31,196000.0
144,SRAM,394816,2009-06-30,200000.0
145,SRAM,394816,2009-05-31,195000.0
146,SRAM,394816,2009-04-30,194900.0
147,SRAM,394816,2009-03-31,195000.0
148,SRAM,394816,2009-02-28,192000.0
149,SRAM,394816,2009-01-31,200000.0
150,SRAM,394816,2008-12-31,208500.0
151,SRAM,394816,2008-11-30,204750.0
152,SRAM,394816,2008-10-31,205750.0
153,SRAM,394816,2008-09-30,209900.0
154,SRAM,394816,2008-08-31,207000.0
155,SRAM,394816,2008-07-31,215000.0
156,SRAM,394816,2008-06-30,206000.0
157,SRAM,394816,2008-05-31,204700.0
158,SRAM,394816,2008-04-30,200000.0
159,SRAM,394816,2008-03-31,206700.0
160,SRAM,394816,2008-02-29,189900.0
