None,indicator_id,region_id,date,value
0,LRAM,394865,2021-07-31,379900.0
1,LRAM,394865,2021-06-30,385000.0
2,LRAM,394865,2021-05-31,389000.0
3,LRAM,394865,2021-04-30,390000.0
4,LRAM,394865,2021-03-31,399000.0
5,LRAM,394865,2021-02-28,386900.0
6,LRAM,394865,2021-01-31,375000.0
7,LRAM,394865,2020-12-31,373884.0
8,LRAM,394865,2020-11-30,364571.0
9,LRAM,394865,2020-10-31,350000.0
10,LRAM,394865,2020-09-30,348628.0
11,LRAM,394865,2020-08-31,374900.0
12,LRAM,394865,2020-07-31,379900.0
13,LRAM,394865,2020-06-30,379990.0
14,LRAM,394865,2020-05-31,379900.0
15,LRAM,394865,2020-04-30,375000.0
16,LRAM,394865,2020-03-31,380000.0
17,LRAM,394865,2020-02-29,379900.0
18,LRAM,394865,2020-01-31,366793.0
19,LRAM,394865,2019-12-31,350000.0
20,LRAM,394865,2019-11-30,349000.0
21,LRAM,394865,2019-10-31,344990.0
22,LRAM,394865,2019-09-30,349900.0
23,LRAM,394865,2019-08-31,351197.0
24,LRAM,394865,2019-07-31,364500.0
25,LRAM,394865,2019-06-30,366860.0
26,LRAM,394865,2019-05-31,375000.0
27,LRAM,394865,2019-04-30,379900.0
28,LRAM,394865,2019-03-31,385000.0
29,LRAM,394865,2019-02-28,372371.0
30,LRAM,394865,2019-01-31,354900.0
31,LRAM,394865,2018-12-31,339900.0
32,LRAM,394865,2018-11-30,334900.0
33,LRAM,394865,2018-10-31,339000.0
34,LRAM,394865,2018-09-30,340000.0
35,LRAM,394865,2018-08-31,349000.0
36,LRAM,394865,2018-07-31,350000.0
37,LRAM,394865,2018-06-30,364000.0
38,LRAM,394865,2018-05-31,369900.0
39,LRAM,394865,2018-04-30,375000.0
40,LRAM,394865,2018-03-31,384900.0
41,LRAM,394865,2018-02-28,374990.0
42,LRAM,394865,2018-01-31,359800.0
43,LRAM,394865,2017-12-31,339900.0
44,LRAM,394865,2017-11-30,325000.0
45,LRAM,394865,2017-10-31,324900.0
