None,indicator_id,region_id,date,value
0,SRAM,394865,2021-06-30,350000.0
1,SRAM,394865,2021-05-31,339400.0
2,SRAM,394865,2021-04-30,337000.0
3,SRAM,394865,2021-03-31,322500.0
4,SRAM,394865,2021-02-28,308900.0
5,SRAM,394865,2021-01-31,300000.0
6,SRAM,394865,2020-12-31,304900.0
7,SRAM,394865,2020-11-30,310000.0
8,SRAM,394865,2020-10-31,312000.0
9,SRAM,394865,2020-09-30,310000.0
10,SRAM,394865,2020-08-31,315000.0
11,SRAM,394865,2020-07-31,310000.0
12,SRAM,394865,2020-06-30,300000.0
13,SRAM,394865,2020-05-31,295000.0
14,SRAM,394865,2020-04-30,300000.0
15,SRAM,394865,2020-03-31,293001.0
16,SRAM,394865,2020-02-29,275000.0
17,SRAM,394865,2020-01-31,270000.0
18,SRAM,394865,2019-12-31,275000.0
19,SRAM,394865,2019-11-30,277000.0
20,SRAM,394865,2019-10-31,275000.0
21,SRAM,394865,2019-09-30,277800.0
22,SRAM,394865,2019-08-31,282208.0
23,SRAM,394865,2019-07-31,280000.0
24,SRAM,394865,2019-06-30,285000.0
25,SRAM,394865,2019-05-31,283452.0
26,SRAM,394865,2019-04-30,279000.0
27,SRAM,394865,2019-03-31,275000.0
28,SRAM,394865,2019-02-28,265000.0
29,SRAM,394865,2019-01-31,260000.0
30,SRAM,394865,2018-12-31,262000.0
31,SRAM,394865,2018-11-30,265000.0
32,SRAM,394865,2018-10-31,266000.0
33,SRAM,394865,2018-09-30,264000.0
34,SRAM,394865,2018-08-31,264900.0
35,SRAM,394865,2018-07-31,265000.0
36,SRAM,394865,2018-06-30,266550.0
37,SRAM,394865,2018-05-31,268000.0
38,SRAM,394865,2018-04-30,260000.0
39,SRAM,394865,2018-03-31,257500.0
40,SRAM,394865,2018-02-28,250000.0
41,SRAM,394865,2018-01-31,245805.0
42,SRAM,394865,2017-12-31,249925.0
43,SRAM,394865,2017-11-30,248303.0
44,SRAM,394865,2017-10-31,243000.0
45,SRAM,394865,2017-09-30,249950.0
46,SRAM,394865,2017-08-31,253500.0
47,SRAM,394865,2017-07-31,252500.0
48,SRAM,394865,2017-06-30,257500.0
49,SRAM,394865,2017-05-31,245000.0
50,SRAM,394865,2017-04-30,242121.0
51,SRAM,394865,2017-03-31,235300.0
52,SRAM,394865,2017-02-28,228000.0
53,SRAM,394865,2017-01-31,229891.0
54,SRAM,394865,2016-12-31,230000.0
55,SRAM,394865,2016-11-30,235000.0
56,SRAM,394865,2016-10-31,234955.0
57,SRAM,394865,2016-09-30,235000.0
58,SRAM,394865,2016-08-31,240000.0
59,SRAM,394865,2016-07-31,239500.0
60,SRAM,394865,2016-06-30,239900.0
