None,metro_area,date,value
0,Minneapolis,2021-06-30,350000.0
1,Minneapolis,2021-05-31,339400.0
2,Minneapolis,2021-04-30,337000.0
3,Minneapolis,2021-03-31,322500.0
4,Minneapolis,2021-02-28,308900.0
5,Minneapolis,2021-01-31,300000.0
6,Minneapolis,2020-12-31,304900.0
7,Minneapolis,2020-11-30,310000.0
8,Minneapolis,2020-10-31,312000.0
9,Minneapolis,2020-09-30,310000.0
10,Minneapolis,2020-08-31,315000.0
11,Minneapolis,2020-07-31,310000.0
12,Minneapolis,2020-06-30,300000.0
13,Minneapolis,2020-05-31,295000.0
14,Minneapolis,2020-04-30,300000.0
15,Minneapolis,2020-03-31,293001.0
16,Minneapolis,2020-02-29,275000.0
17,Minneapolis,2020-01-31,270000.0
18,Minneapolis,2019-12-31,275000.0
19,Minneapolis,2019-11-30,277000.0
20,Minneapolis,2019-10-31,275000.0
21,Minneapolis,2019-09-30,277800.0
22,Minneapolis,2019-08-31,282208.0
23,Minneapolis,2019-07-31,280000.0
24,Minneapolis,2019-06-30,285000.0
25,Minneapolis,2019-05-31,283452.0
26,Minneapolis,2019-04-30,279000.0
27,Minneapolis,2019-03-31,275000.0
28,Minneapolis,2019-02-28,265000.0
29,Minneapolis,2019-01-31,260000.0
30,Minneapolis,2018-12-31,262000.0
31,Minneapolis,2018-11-30,265000.0
32,Minneapolis,2018-10-31,266000.0
33,Minneapolis,2018-09-30,264000.0
34,Minneapolis,2018-08-31,264900.0
35,Minneapolis,2018-07-31,265000.0
36,Minneapolis,2018-06-30,266550.0
37,Minneapolis,2018-05-31,268000.0
38,Minneapolis,2018-04-30,260000.0
39,Minneapolis,2018-03-31,257500.0
40,Minneapolis,2018-02-28,250000.0
41,Minneapolis,2018-01-31,245805.0
42,Minneapolis,2017-12-31,249925.0
43,Minneapolis,2017-11-30,248303.0
44,Minneapolis,2017-10-31,243000.0
45,Minneapolis,2017-09-30,249950.0
46,Minneapolis,2017-08-31,253500.0
47,Minneapolis,2017-07-31,252500.0
48,Minneapolis,2017-06-30,257500.0
49,Minneapolis,2017-05-31,245000.0
50,Minneapolis,2017-04-30,242121.0
51,Minneapolis,2017-03-31,235300.0
52,Minneapolis,2017-02-28,228000.0
53,Minneapolis,2017-01-31,229891.0
54,Minneapolis,2016-12-31,230000.0
55,Minneapolis,2016-11-30,235000.0
56,Minneapolis,2016-10-31,234955.0
57,Minneapolis,2016-09-30,235000.0
58,Minneapolis,2016-08-31,240000.0
59,Minneapolis,2016-07-31,239500.0
60,Minneapolis,2016-06-30,239900.0
61,Minneapolis,2016-05-31,235000.0
62,Minneapolis,2016-04-30,228000.0
63,Minneapolis,2016-03-31,220000.0
64,Minneapolis,2016-02-29,215000.0
65,Minneapolis,2016-01-31,215000.0
66,Minneapolis,2015-12-31,224950.0
67,Minneapolis,2015-11-30,226000.0
68,Minneapolis,2015-10-31,219900.0
69,Minneapolis,2015-09-30,225000.0
70,Minneapolis,2015-08-31,227181.0
71,Minneapolis,2015-07-31,228000.0
72,Minneapolis,2015-06-30,227950.0
73,Minneapolis,2015-05-31,225000.0
74,Minneapolis,2015-04-30,221452.0
75,Minneapolis,2015-03-31,215900.0
76,Minneapolis,2015-02-28,207600.0
77,Minneapolis,2015-01-31,204500.0
78,Minneapolis,2014-12-31,212248.0
79,Minneapolis,2014-11-30,210000.0
80,Minneapolis,2014-10-31,211896.0
81,Minneapolis,2014-09-30,210000.0
82,Minneapolis,2014-08-31,222000.0
83,Minneapolis,2014-07-31,217900.0
84,Minneapolis,2014-06-30,222000.0
85,Minneapolis,2014-05-31,210035.0
86,Minneapolis,2014-04-30,203500.0
87,Minneapolis,2014-03-31,200000.0
88,Minneapolis,2014-02-28,195000.0
89,Minneapolis,2014-01-31,200000.0
90,Minneapolis,2013-12-31,205000.0
91,Minneapolis,2013-11-30,204000.0
92,Minneapolis,2013-10-31,205000.0
93,Minneapolis,2013-09-30,207000.0
94,Minneapolis,2013-08-31,210000.0
95,Minneapolis,2013-07-31,212000.0
96,Minneapolis,2013-06-30,206000.0
97,Minneapolis,2013-05-31,194117.0
98,Minneapolis,2013-04-30,182500.0
99,Minneapolis,2013-03-31,177130.0
100,Minneapolis,2013-02-28,165000.0
101,Minneapolis,2013-01-31,169900.0
102,Minneapolis,2012-12-31,180000.0
103,Minneapolis,2012-11-30,180000.0
104,Minneapolis,2012-10-31,180000.0
105,Minneapolis,2012-09-30,185626.0
106,Minneapolis,2012-08-31,187500.0
107,Minneapolis,2012-07-31,189900.0
108,Minneapolis,2012-06-30,180000.0
109,Minneapolis,2012-05-31,175000.0
110,Minneapolis,2012-04-30,165000.0
111,Minneapolis,2012-03-31,160000.0
112,Minneapolis,2012-02-29,151950.0
113,Minneapolis,2012-01-31,158700.0
114,Minneapolis,2011-12-31,160000.0
115,Minneapolis,2011-11-30,165000.0
116,Minneapolis,2011-10-31,165000.0
117,Minneapolis,2011-09-30,168960.0
118,Minneapolis,2011-08-31,180000.0
119,Minneapolis,2011-07-31,181000.0
120,Minneapolis,2011-06-30,185000.0
121,Minneapolis,2011-05-31,179000.0
122,Minneapolis,2011-04-30,172000.0
