None,indicator_id,region_id,date,value
0,IRAM,394935,2021-07-31,4713.0
1,IRAM,394935,2021-06-30,4346.0
2,IRAM,394935,2021-05-31,4253.0
3,IRAM,394935,2021-04-30,4183.0
4,IRAM,394935,2021-03-31,4298.0
5,IRAM,394935,2021-02-28,4242.0
6,IRAM,394935,2021-01-31,4779.0
7,IRAM,394935,2020-12-31,5348.0
8,IRAM,394935,2020-11-30,6167.0
9,IRAM,394935,2020-10-31,5456.0
10,IRAM,394935,2020-09-30,5764.0
11,IRAM,394935,2020-08-31,5956.0
12,IRAM,394935,2020-07-31,6171.0
13,IRAM,394935,2020-06-30,6265.0
14,IRAM,394935,2020-05-31,6243.0
15,IRAM,394935,2020-04-30,6029.0
16,IRAM,394935,2020-03-31,6066.0
17,IRAM,394935,2020-02-29,6111.0
18,IRAM,394935,2020-01-31,6384.0
19,IRAM,394935,2019-12-31,6633.0
20,IRAM,394935,2019-11-30,7044.0
21,IRAM,394935,2019-10-31,7338.0
22,IRAM,394935,2019-09-30,7455.0
23,IRAM,394935,2019-08-31,7425.0
24,IRAM,394935,2019-07-31,7310.0
25,IRAM,394935,2019-06-30,7044.0
26,IRAM,394935,2019-05-31,6731.0
27,IRAM,394935,2019-04-30,6613.0
28,IRAM,394935,2019-03-31,6493.0
29,IRAM,394935,2019-02-28,6675.0
30,IRAM,394935,2019-01-31,7029.0
31,IRAM,394935,2018-12-31,7339.0
32,IRAM,394935,2018-11-30,7718.0
33,IRAM,394935,2018-10-31,8001.0
34,IRAM,394935,2018-09-30,8182.0
35,IRAM,394935,2018-08-31,8301.0
36,IRAM,394935,2018-07-31,8291.0
37,IRAM,394935,2018-06-30,8129.0
38,IRAM,394935,2018-05-31,7837.0
39,IRAM,394935,2018-04-30,7652.0
40,IRAM,394935,2018-03-31,7451.0
41,IRAM,394935,2018-02-28,7469.0
42,IRAM,394935,2018-01-31,7743.0
43,IRAM,394935,2017-12-31,7817.0
44,IRAM,394935,2017-11-30,8079.0
45,IRAM,394935,2017-10-31,8288.0
