None,metro_area,date,value
0,Oklahoma City,2021-06-30,225000.0
1,Oklahoma City,2021-05-31,219000.0
2,Oklahoma City,2021-04-30,213500.0
3,Oklahoma City,2021-03-31,212000.0
4,Oklahoma City,2021-02-28,210000.0
5,Oklahoma City,2021-01-31,199500.0
6,Oklahoma City,2020-12-31,205000.0
7,Oklahoma City,2020-11-30,205500.0
8,Oklahoma City,2020-10-31,205000.0
9,Oklahoma City,2020-09-30,205000.0
10,Oklahoma City,2020-08-31,212000.0
11,Oklahoma City,2020-07-31,204500.0
12,Oklahoma City,2020-06-30,203497.0
13,Oklahoma City,2020-05-31,195000.0
14,Oklahoma City,2020-04-30,193900.0
15,Oklahoma City,2020-03-31,190280.0
16,Oklahoma City,2020-02-29,187000.0
17,Oklahoma City,2020-01-31,176000.0
18,Oklahoma City,2019-12-31,185950.0
19,Oklahoma City,2019-11-30,185200.0
20,Oklahoma City,2019-10-31,182000.0
21,Oklahoma City,2019-09-30,185000.0
22,Oklahoma City,2019-08-31,187500.0
23,Oklahoma City,2019-07-31,185000.0
24,Oklahoma City,2019-06-30,199700.0
25,Oklahoma City,2019-05-31,183000.0
26,Oklahoma City,2019-04-30,185000.0
27,Oklahoma City,2019-03-31,183000.0
28,Oklahoma City,2019-02-28,178000.0
29,Oklahoma City,2019-01-31,176418.0
30,Oklahoma City,2018-12-31,173750.0
31,Oklahoma City,2018-11-30,170000.0
32,Oklahoma City,2018-10-31,175271.0
33,Oklahoma City,2018-09-30,176000.0
34,Oklahoma City,2018-08-31,172000.0
35,Oklahoma City,2018-07-31,175000.0
36,Oklahoma City,2018-06-30,172000.0
37,Oklahoma City,2018-05-31,174588.0
38,Oklahoma City,2018-04-30,172000.0
39,Oklahoma City,2018-03-31,170000.0
40,Oklahoma City,2018-02-28,165000.0
41,Oklahoma City,2018-01-31,162500.0
42,Oklahoma City,2017-12-31,168500.0
43,Oklahoma City,2017-11-30,165000.0
44,Oklahoma City,2017-10-31,164950.0
45,Oklahoma City,2017-09-30,169000.0
46,Oklahoma City,2017-08-31,168500.0
47,Oklahoma City,2017-07-31,172250.0
48,Oklahoma City,2017-06-30,172500.0
49,Oklahoma City,2017-05-31,168000.0
50,Oklahoma City,2017-04-30,166000.0
51,Oklahoma City,2017-03-31,162500.0
52,Oklahoma City,2017-02-28,163150.0
53,Oklahoma City,2017-01-31,159900.0
54,Oklahoma City,2016-12-31,168000.0
55,Oklahoma City,2016-11-30,162000.0
56,Oklahoma City,2016-10-31,165000.0
57,Oklahoma City,2016-09-30,162000.0
58,Oklahoma City,2016-08-31,164500.0
59,Oklahoma City,2016-07-31,170000.0
60,Oklahoma City,2016-06-30,166000.0
61,Oklahoma City,2016-05-31,162000.0
62,Oklahoma City,2016-04-30,162000.0
63,Oklahoma City,2016-03-31,158000.0
64,Oklahoma City,2016-02-29,153307.0
65,Oklahoma City,2016-01-31,160000.0
66,Oklahoma City,2015-12-31,157500.0
67,Oklahoma City,2015-11-30,153000.0
68,Oklahoma City,2015-10-31,158000.0
69,Oklahoma City,2015-09-30,160825.0
70,Oklahoma City,2015-08-31,163500.0
71,Oklahoma City,2015-07-31,165000.0
72,Oklahoma City,2015-06-30,170000.0
73,Oklahoma City,2015-05-31,161500.0
74,Oklahoma City,2015-04-30,152138.0
75,Oklahoma City,2015-03-31,153000.0
76,Oklahoma City,2015-02-28,152000.0
77,Oklahoma City,2015-01-31,151000.0
78,Oklahoma City,2014-12-31,158500.0
79,Oklahoma City,2014-11-30,155000.0
80,Oklahoma City,2014-10-31,156000.0
81,Oklahoma City,2014-09-30,155000.0
82,Oklahoma City,2014-08-31,155000.0
83,Oklahoma City,2014-07-31,160000.0
84,Oklahoma City,2014-06-30,160000.0
85,Oklahoma City,2014-05-31,155000.0
86,Oklahoma City,2014-04-30,150000.0
87,Oklahoma City,2014-03-31,151000.0
88,Oklahoma City,2014-02-28,145500.0
89,Oklahoma City,2014-01-31,137500.0
90,Oklahoma City,2013-12-31,147000.0
91,Oklahoma City,2013-11-30,142500.0
92,Oklahoma City,2013-10-31,143500.0
93,Oklahoma City,2013-09-30,145000.0
94,Oklahoma City,2013-08-31,150000.0
95,Oklahoma City,2013-07-31,153000.0
96,Oklahoma City,2013-06-30,150000.0
97,Oklahoma City,2013-05-31,142500.0
98,Oklahoma City,2013-04-30,140000.0
99,Oklahoma City,2013-03-31,140500.0
100,Oklahoma City,2013-02-28,139500.0
101,Oklahoma City,2013-01-31,136000.0
102,Oklahoma City,2012-12-31,138000.0
103,Oklahoma City,2012-11-30,144000.0
104,Oklahoma City,2012-10-31,142750.0
105,Oklahoma City,2012-09-30,140000.0
106,Oklahoma City,2012-08-31,143250.0
107,Oklahoma City,2012-07-31,140000.0
108,Oklahoma City,2012-06-30,140000.0
109,Oklahoma City,2012-05-31,141000.0
110,Oklahoma City,2012-04-30,134000.0
111,Oklahoma City,2012-03-31,133000.0
112,Oklahoma City,2012-02-29,128500.0
113,Oklahoma City,2012-01-31,130000.0
114,Oklahoma City,2011-12-31,135000.0
115,Oklahoma City,2011-11-30,129900.0
116,Oklahoma City,2011-10-31,132500.0
117,Oklahoma City,2011-09-30,130500.0
118,Oklahoma City,2011-08-31,132500.0
119,Oklahoma City,2011-07-31,136125.0
120,Oklahoma City,2011-06-30,139000.0
121,Oklahoma City,2011-05-31,136000.0
122,Oklahoma City,2011-04-30,125000.0
123,Oklahoma City,2011-03-31,128000.0
124,Oklahoma City,2011-02-28,127000.0
125,Oklahoma City,2011-01-31,130000.0
126,Oklahoma City,2010-12-31,130000.0
127,Oklahoma City,2010-11-30,132500.0
128,Oklahoma City,2010-10-31,126250.0
129,Oklahoma City,2010-09-30,133500.0
130,Oklahoma City,2010-08-31,129000.0
131,Oklahoma City,2010-07-31,130000.0
132,Oklahoma City,2010-06-30,135000.0
133,Oklahoma City,2010-05-31,127000.0
134,Oklahoma City,2010-04-30,125000.0
135,Oklahoma City,2010-03-31,127750.0
136,Oklahoma City,2010-02-28,122000.0
137,Oklahoma City,2010-01-31,119500.0
138,Oklahoma City,2009-12-31,122000.0
139,Oklahoma City,2009-11-30,125000.0
140,Oklahoma City,2009-10-31,124000.0
141,Oklahoma City,2009-09-30,126000.0
142,Oklahoma City,2009-08-31,126000.0
143,Oklahoma City,2009-07-31,132075.0
144,Oklahoma City,2009-06-30,130000.0
145,Oklahoma City,2009-05-31,129000.0
146,Oklahoma City,2009-04-30,120000.0
147,Oklahoma City,2009-03-31,126000.0
148,Oklahoma City,2009-02-28,125000.0
149,Oklahoma City,2009-01-31,125000.0
150,Oklahoma City,2008-12-31,119000.0
151,Oklahoma City,2008-11-30,120000.0
152,Oklahoma City,2008-10-31,125550.0
153,Oklahoma City,2008-09-30,122000.0
154,Oklahoma City,2008-08-31,129000.0
155,Oklahoma City,2008-07-31,127500.0
156,Oklahoma City,2008-06-30,130000.0
157,Oklahoma City,2008-05-31,125000.0
158,Oklahoma City,2008-04-30,125000.0
159,Oklahoma City,2008-03-31,117000.0
160,Oklahoma City,2008-02-29,115000.0
