None,indicator_id,region_id,date,value
0,IRAM,395160,2021-07-31,1615.0
1,IRAM,395160,2021-06-30,1489.0
2,IRAM,395160,2021-05-31,1389.0
3,IRAM,395160,2021-04-30,1291.0
4,IRAM,395160,2021-03-31,1284.0
5,IRAM,395160,2021-02-28,1328.0
6,IRAM,395160,2021-01-31,1475.0
7,IRAM,395160,2020-12-31,1648.0
8,IRAM,395160,2020-11-30,1801.0
9,IRAM,395160,2020-10-31,1851.0
10,IRAM,395160,2020-09-30,1854.0
11,IRAM,395160,2020-08-31,1870.0
12,IRAM,395160,2020-07-31,1905.0
13,IRAM,395160,2020-06-30,1931.0
14,IRAM,395160,2020-05-31,1951.0
15,IRAM,395160,2020-04-30,1951.0
16,IRAM,395160,2020-03-31,2012.0
17,IRAM,395160,2020-02-29,2094.0
18,IRAM,395160,2020-01-31,2216.0
19,IRAM,395160,2019-12-31,2315.0
20,IRAM,395160,2019-11-30,2426.0
21,IRAM,395160,2019-10-31,2460.0
22,IRAM,395160,2019-09-30,2446.0
23,IRAM,395160,2019-08-31,2429.0
24,IRAM,395160,2019-07-31,2395.0
25,IRAM,395160,2019-06-30,2329.0
26,IRAM,395160,2019-05-31,2216.0
27,IRAM,395160,2019-04-30,2161.0
28,IRAM,395160,2019-03-31,2109.0
29,IRAM,395160,2019-02-28,2184.0
30,IRAM,395160,2019-01-31,2379.0
31,IRAM,395160,2018-12-31,2542.0
32,IRAM,395160,2018-11-30,2739.0
33,IRAM,395160,2018-10-31,2831.0
34,IRAM,395160,2018-09-30,2813.0
35,IRAM,395160,2018-08-31,2767.0
36,IRAM,395160,2018-07-31,2670.0
37,IRAM,395160,2018-06-30,2567.0
38,IRAM,395160,2018-05-31,2471.0
39,IRAM,395160,2018-04-30,2402.0
40,IRAM,395160,2018-03-31,2352.0
41,IRAM,395160,2018-02-28,2394.0
42,IRAM,395160,2018-01-31,2537.0
43,IRAM,395160,2017-12-31,2604.0
44,IRAM,395160,2017-11-30,2738.0
45,IRAM,395160,2017-10-31,2869.0
