None,metro_area,date,value
0,Toledo,2021-06-30,155300.0
1,Toledo,2021-05-31,140750.0
2,Toledo,2021-04-30,146000.0
3,Toledo,2021-03-31,148500.0
4,Toledo,2021-02-28,132450.0
5,Toledo,2021-01-31,144000.0
6,Toledo,2020-12-31,149750.0
7,Toledo,2020-11-30,141225.0
8,Toledo,2020-10-31,139000.0
9,Toledo,2020-09-30,145000.0
10,Toledo,2020-08-31,135400.0
11,Toledo,2020-07-31,144950.0
12,Toledo,2020-06-30,137000.0
13,Toledo,2020-05-31,144500.0
14,Toledo,2020-04-30,131000.0
15,Toledo,2020-03-31,132000.0
16,Toledo,2020-02-29,130900.0
17,Toledo,2020-01-31,119250.0
18,Toledo,2019-12-31,130000.0
19,Toledo,2019-11-30,131000.0
20,Toledo,2019-10-31,124250.0
21,Toledo,2019-09-30,142000.0
22,Toledo,2019-08-31,132000.0
23,Toledo,2019-07-31,135000.0
24,Toledo,2019-06-30,132000.0
25,Toledo,2019-05-31,134950.0
26,Toledo,2019-04-30,124950.0
27,Toledo,2019-03-31,122000.0
28,Toledo,2019-02-28,116500.0
29,Toledo,2019-01-31,116300.0
30,Toledo,2018-12-31,115900.0
31,Toledo,2018-11-30,119965.0
32,Toledo,2018-10-31,114300.0
33,Toledo,2018-09-30,138000.0
34,Toledo,2018-08-31,125000.0
35,Toledo,2018-07-31,135000.0
36,Toledo,2018-06-30,135000.0
37,Toledo,2018-05-31,128000.0
38,Toledo,2018-04-30,121000.0
39,Toledo,2018-03-31,116300.0
40,Toledo,2018-02-28,108950.0
41,Toledo,2018-01-31,101050.0
42,Toledo,2017-12-31,112000.0
43,Toledo,2017-11-30,110000.0
44,Toledo,2017-10-31,118000.0
45,Toledo,2017-09-30,119000.0
46,Toledo,2017-08-31,127000.0
47,Toledo,2017-07-31,126750.0
48,Toledo,2017-06-30,129500.0
49,Toledo,2017-05-31,128450.0
50,Toledo,2017-04-30,119000.0
51,Toledo,2017-03-31,105000.0
52,Toledo,2017-02-28,109900.0
53,Toledo,2017-01-31,115000.0
54,Toledo,2016-12-31,114000.0
55,Toledo,2016-11-30,112500.0
56,Toledo,2016-10-31,116500.0
57,Toledo,2016-09-30,114225.0
58,Toledo,2016-08-31,114000.0
59,Toledo,2016-07-31,120900.0
60,Toledo,2016-06-30,118500.0
61,Toledo,2016-05-31,117500.0
62,Toledo,2016-04-30,118500.0
63,Toledo,2016-03-31,110000.0
64,Toledo,2016-02-29,108000.0
65,Toledo,2016-01-31,100000.0
66,Toledo,2015-12-31,116000.0
67,Toledo,2015-11-30,105950.0
68,Toledo,2015-10-31,115000.0
69,Toledo,2015-09-30,116200.0
70,Toledo,2015-08-31,108700.0
71,Toledo,2015-07-31,124900.0
72,Toledo,2015-06-30,119500.0
73,Toledo,2015-05-31,123000.0
74,Toledo,2015-04-30,105000.0
75,Toledo,2015-03-31,110000.0
76,Toledo,2015-02-28,102450.0
77,Toledo,2015-01-31,88000.0
78,Toledo,2014-12-31,103500.0
79,Toledo,2014-11-30,105000.0
80,Toledo,2014-10-31,106000.0
81,Toledo,2014-09-30,109900.0
82,Toledo,2014-08-31,120000.0
83,Toledo,2014-07-31,116000.0
84,Toledo,2014-06-30,113500.0
85,Toledo,2014-05-31,105000.0
86,Toledo,2014-04-30,97500.0
87,Toledo,2014-03-31,81250.0
88,Toledo,2014-02-28,82500.0
89,Toledo,2014-01-31,97250.0
90,Toledo,2013-12-31,100000.0
91,Toledo,2013-11-30,108950.0
92,Toledo,2013-10-31,90000.0
93,Toledo,2013-09-30,100500.0
94,Toledo,2013-08-31,115400.0
95,Toledo,2013-07-31,114950.0
96,Toledo,2013-06-30,120000.0
97,Toledo,2013-05-31,119700.0
98,Toledo,2013-04-30,98000.0
99,Toledo,2013-03-31,107000.0
100,Toledo,2013-02-28,95000.0
101,Toledo,2013-01-31,105500.0
102,Toledo,2012-12-31,94950.0
103,Toledo,2012-11-30,107000.0
104,Toledo,2012-10-31,113000.0
105,Toledo,2012-09-30,107200.0
106,Toledo,2012-08-31,100750.0
107,Toledo,2012-07-31,112000.0
108,Toledo,2012-06-30,122500.0
